[main] started 42 self-play workers on GPUs [1, 2, 3, 4, 5, 6, 7], 96 games each, 512 sims/move
[learner] published initial weights to runs/az
[   1.0 min] step       0 | games       0 (  0.0/s) | buffer        0 | reuse 0.00 | policy 0.0000 value 0.0000 | 358.9 min left
[  45.0 min] step   17706 | games  118304 ( 43.8/s) | buffer  3000000 | reuse 6.00 | policy 1.9101 value 0.4361 | 314.9 min left
[  46.0 min] step   18128 | games  120906 ( 43.8/s) | buffer  3000000 | reuse 6.00 | policy 1.8964 value 0.4323 | 313.9 min left
[  47.0 min] step   18540 | games  123512 ( 43.8/s) | buffer  3000000 | reuse 6.00 | policy 1.8783 value 0.4281 | 312.9 min left
[  48.0 min] step   18939 | games  126076 ( 43.8/s) | buffer  3000000 | reuse 6.00 | policy 1.8620 value 0.4240 | 311.9 min left
[  49.0 min] step   19344 | games  128582 ( 43.7/s) | buffer  3000000 | reuse 6.00 | policy 1.8476 value 0.4203 | 310.9 min left
[  50.0 min] step   19755 | games  131098 ( 43.7/s) | buffer  3000000 | reuse 6.00 | policy 1.8353 value 0.4166 | 309.9 min left
[  51.0 min] step   20173 | games  133618 ( 43.6/s) | buffer  3000000 | reuse 6.00 | policy 1.8250 value 0.4137 | 308.9 min left
[  52.0 min] step   20583 | games  136206 ( 43.6/s) | buffer  3000000 | reuse 6.00 | policy 1.8168 value 0.4114 | 307.9 min left
[  53.0 min] step   20978 | games  138756 ( 43.6/s) | buffer  3000000 | reuse 6.00 | policy 1.8103 value 0.4093 | 306.9 min left
[  54.0 min] step   21399 | games  141388 ( 43.6/s) | buffer  3000000 | reuse 6.00 | policy 1.8048 value 0.4072 | 305.9 min left
[  55.0 min] step   21800 | games  143886 ( 43.6/s) | buffer  3000000 | reuse 6.00 | policy 1.8003 value 0.4054 | 304.9 min left
[  56.0 min] step   22221 | games  146408 ( 43.6/s) | buffer  3000000 | reuse 6.00 | policy 1.7964 value 0.4034 | 303.9 min left
[  57.0 min] step   22641 | games  148985 ( 43.5/s) | buffer  3000000 | reuse 6.00 | policy 1.7931 value 0.4018 | 302.9 min left
[  58.0 min] step   23045 | games  151558 ( 43.5/s) | buffer  3000000 | reuse 6.00 | policy 1.7906 value 0.4000 | 301.9 min left
[  59.0 min] step   23448 | games  154104 ( 43.5/s) | buffer  3000000 | reuse 6.00 | policy 1.7884 value 0.3983 | 300.9 min left
[  60.0 min] step   23865 | games  156685 ( 43.5/s) | buffer  3000000 | reuse 6.00 | policy 1.7863 value 0.3966 | 299.9 min left
[  61.0 min] step   24280 | games  159229 ( 43.5/s) | buffer  3000000 | reuse 6.00 | policy 1.7845 value 0.3949 | 298.9 min left
[  62.0 min] step   24685 | games  161747 ( 43.5/s) | buffer  3000000 | reuse 6.00 | policy 1.7830 value 0.3933 | 297.9 min left
[  63.0 min] step   25112 | games  164347 ( 43.5/s) | buffer  3000000 | reuse 6.00 | policy 1.7815 value 0.3915 | 296.9 min left
[  64.0 min] step   25520 | games  166898 ( 43.4/s) | buffer  3000000 | reuse 6.00 | policy 1.7801 value 0.3898 | 295.9 min left
[  65.0 min] step   25936 | games  169472 ( 43.4/s) | buffer  3000000 | reuse 6.00 | policy 1.7791 value 0.3882 | 294.9 min left
[  66.0 min] step   26343 | games  172049 ( 43.4/s) | buffer  3000000 | reuse 6.00 | policy 1.7782 value 0.3866 | 293.9 min left
[  67.0 min] step   26768 | games  174673 ( 43.4/s) | buffer  3000000 | reuse 6.00 | policy 1.7773 value 0.3849 | 292.9 min left
[  68.0 min] step   27189 | games  177255 ( 43.4/s) | buffer  3000000 | reuse 6.00 | policy 1.7766 value 0.3832 | 291.9 min left
