[main] started 42 self-play workers on GPUs [1, 2, 3, 4, 5, 6, 7], 96 games each, 512 sims/move
[learner] published initial weights to runs/az
[   1.0 min] step       0 | games       0 (  0.0/s) | buffer        0 | reuse 0.00 | policy 0.0000 value 0.0000 | 358.9 min left
[ 186.1 min] step   76379 | games  528863 ( 47.4/s) | buffer  3000000 | reuse 6.00 | policy 1.7943 value 0.1994 | 173.8 min left
[ 187.1 min] step   76782 | games  532204 ( 47.4/s) | buffer  3000000 | reuse 6.00 | policy 1.7941 value 0.1995 | 172.8 min left
[ 188.1 min] step   77202 | games  535635 ( 47.5/s) | buffer  3000000 | reuse 6.00 | policy 1.7947 value 0.1991 | 171.8 min left
[ 189.1 min] step   77629 | games  539041 ( 47.5/s) | buffer  3000000 | reuse 6.00 | policy 1.7950 value 0.1989 | 170.8 min left
[ 190.1 min] step   78040 | games  542426 ( 47.6/s) | buffer  3000000 | reuse 6.00 | policy 1.7956 value 0.1987 | 169.8 min left
[ 191.1 min] step   78463 | games  545838 ( 47.6/s) | buffer  3000000 | reuse 6.00 | policy 1.8023 value 0.1958 | 168.8 min left
[ 192.1 min] step   78896 | games  549392 ( 47.7/s) | buffer  3000000 | reuse 6.00 | policy 1.8021 value 0.1947 | 167.8 min left
[ 193.1 min] step   79319 | games  552968 ( 47.7/s) | buffer  3000000 | reuse 6.00 | policy 1.8030 value 0.1954 | 166.8 min left
[ 194.1 min] step   79740 | games  556488 ( 47.8/s) | buffer  3000000 | reuse 6.00 | policy 1.8033 value 0.1949 | 165.8 min left
[ 195.1 min] step   80167 | games  560086 ( 47.9/s) | buffer  3000000 | reuse 6.00 | policy 1.8038 value 0.1942 | 164.8 min left
[ 196.1 min] step   80601 | games  563692 ( 47.9/s) | buffer  3000000 | reuse 6.00 | policy 1.8035 value 0.1934 | 163.8 min left
[ 197.1 min] step   81021 | games  567272 ( 48.0/s) | buffer  3000000 | reuse 6.00 | policy 1.8034 value 0.1927 | 162.8 min left
[ 198.1 min] step   81433 | games  570859 ( 48.0/s) | buffer  3000000 | reuse 6.00 | policy 1.8034 value 0.1921 | 161.8 min left
[ 199.1 min] step   81847 | games  574444 ( 48.1/s) | buffer  3000000 | reuse 6.00 | policy 1.8035 value 0.1913 | 160.8 min left
[ 200.1 min] step   82269 | games  578023 ( 48.2/s) | buffer  3000000 | reuse 6.00 | policy 1.8034 value 0.1873 | 159.8 min left
[ 201.1 min] step   82676 | games  581616 ( 48.2/s) | buffer  3000000 | reuse 6.00 | policy 1.8029 value 0.1860 | 158.8 min left
[ 202.1 min] step   83098 | games  585240 ( 48.3/s) | buffer  3000000 | reuse 6.00 | policy 1.8023 value 0.1853 | 157.8 min left
[ 203.1 min] step   83518 | games  588896 ( 48.3/s) | buffer  3000000 | reuse 6.00 | policy 1.8024 value 0.1849 | 156.8 min left
[ 204.1 min] step   83920 | games  592565 ( 48.4/s) | buffer  3000000 | reuse 6.00 | policy 1.8026 value 0.1843 | 155.8 min left
[ 205.1 min] step   84336 | games  596219 ( 48.5/s) | buffer  3000000 | reuse 6.00 | policy 1.8027 value 0.1840 | 154.8 min left
[ 206.1 min] step   84747 | games  599846 ( 48.5/s) | buffer  3000000 | reuse 6.00 | policy 1.8029 value 0.1819 | 153.8 min left
[ 207.1 min] step   85177 | games  603551 ( 48.6/s) | buffer  3000000 | reuse 6.00 | policy 1.8061 value 0.1798 | 152.8 min left
[ 208.1 min] step   85597 | games  607190 ( 48.6/s) | buffer  3000000 | reuse 6.00 | policy 1.8053 value 0.1808 | 151.8 min left
[ 209.1 min] step   86009 | games  610841 ( 48.7/s) | buffer  3000000 | reuse 6.00 | policy 1.8059 value 0.1807 | 150.8 min left
[ 210.1 min] step   86417 | games  614481 ( 48.8/s) | buffer  3000000 | reuse 6.00 | policy 1.8067 value 0.1803 | 149.8 min left
[ 211.1 min] step   86848 | games  618263 ( 48.8/s) | buffer  3000000 | reuse 6.00 | policy 1.8073 value 0.1796 | 148.8 min left
[ 212.1 min] step   87271 | games  621984 ( 48.9/s) | buffer  3000000 | reuse 6.00 | policy 1.8080 value 0.1793 | 147.8 min left
[ 213.1 min] step   87677 | games  625640 ( 48.9/s) | buffer  3000000 | reuse 6.00 | policy 1.8085 value 0.1792 | 146.8 min left
[ 214.1 min] step   88079 | games  629301 ( 49.0/s) | buffer  3000000 | reuse 6.00 | policy 1.8087 value 0.1791 | 145.8 min left
[ 215.1 min] step   88507 | games  633051 ( 49.1/s) | buffer  3000000 | reuse 6.00 | policy 1.8090 value 0.1790 | 144.8 min left
[ 216.1 min] step   88921 | games  636685 ( 49.1/s) | buffer  3000000 | reuse 6.00 | policy 1.8095 value 0.1788 | 143.8 min left
[ 217.1 min] step   89347 | games  640411 ( 49.2/s) | buffer  3000000 | reuse 6.00 | policy 1.8100 value 0.1785 | 142.8 min left
[ 218.1 min] step   89740 | games  643964 ( 49.2/s) | buffer  3000000 | reuse 6.00 | policy 1.8108 value 0.1782 | 141.8 min left
[ 219.1 min] step   90162 | games  647711 ( 49.3/s) | buffer  3000000 | reuse 6.00 | policy 1.8113 value 0.1779 | 140.8 min left
[ 220.1 min] step   90572 | games  651478 ( 49.3/s) | buffer  3000000 | reuse 6.00 | policy 1.8117 value 0.1777 | 139.8 min left
[ 221.1 min] step   90986 | games  655222 ( 49.4/s) | buffer  3000000 | reuse 6.00 | policy 1.8122 value 0.1775 | 138.8 min left
[ 222.1 min] step   91393 | games  658943 ( 49.5/s) | buffer  3000000 | reuse 6.00 | policy 1.8129 value 0.1771 | 137.8 min left
[ 223.1 min] step   91808 | games  662653 ( 49.5/s) | buffer  3000000 | reuse 6.00 | policy 1.8133 value 0.1767 | 136.8 min left
[ 224.1 min] step   92228 | games  666364 ( 49.6/s) | buffer  3000000 | reuse 6.00 | policy 1.8136 value 0.1762 | 135.8 min left
[ 225.1 min] step   92641 | games  670128 ( 49.6/s) | buffer  3000000 | reuse 6.00 | policy 1.8140 value 0.1759 | 134.8 min left
[ 226.1 min] step   93069 | games  673895 ( 49.7/s) | buffer  3000000 | reuse 6.00 | policy 1.8144 value 0.1755 | 133.8 min left
[ 227.1 min] step   93496 | games  677738 ( 49.7/s) | buffer  3000000 | reuse 6.00 | policy 1.8150 value 0.1752 | 132.8 min left
[ 228.1 min] step   93921 | games  681622 ( 49.8/s) | buffer  3000000 | reuse 6.00 | policy 1.8157 value 0.1749 | 131.8 min left
[ 229.1 min] step   94345 | games  685515 ( 49.9/s) | buffer  3000000 | reuse 6.00 | policy 1.8162 value 0.1745 | 130.8 min left
[ 230.1 min] step   94774 | games  689410 ( 49.9/s) | buffer  3000000 | reuse 6.00 | policy 1.8169 value 0.1741 | 129.8 min left
[ 231.1 min] step   95191 | games  693231 ( 50.0/s) | buffer  3000000 | reuse 6.00 | policy 1.8175 value 0.1736 | 128.8 min left
[ 232.1 min] step   95613 | games  697173 ( 50.1/s) | buffer  3000000 | reuse 6.00 | policy 1.8181 value 0.1731 | 127.8 min left
[ 233.1 min] step   96028 | games  700983 ( 50.1/s) | buffer  3000000 | reuse 6.00 | policy 1.8364 value 0.1590 | 126.8 min left
[ 234.1 min] step   96451 | games  704964 ( 50.2/s) | buffer  3000000 | reuse 6.00 | policy 1.8377 value 0.1594 | 125.8 min left
[ 235.1 min] step   96859 | games  708809 ( 50.3/s) | buffer  3000000 | reuse 6.00 | policy 1.8372 value 0.1594 | 124.8 min left
[ 236.1 min] step   97276 | games  712668 ( 50.3/s) | buffer  3000000 | reuse 6.00 | policy 1.8378 value 0.1591 | 123.8 min left
[ 237.1 min] step   97687 | games  716575 ( 50.4/s) | buffer  3000000 | reuse 6.00 | policy 1.8377 value 0.1587 | 122.8 min left
[ 238.1 min] step   98117 | games  720538 ( 50.4/s) | buffer  3000000 | reuse 6.00 | policy 1.8377 value 0.1578 | 121.8 min left
[ 239.1 min] step   98527 | games  724458 ( 50.5/s) | buffer  3000000 | reuse 6.00 | policy 1.8378 value 0.1571 | 120.8 min left
[ 240.1 min] step   98938 | games  728414 ( 50.6/s) | buffer  3000000 | reuse 6.00 | policy 1.8380 value 0.1567 | 119.8 min left
[ 241.1 min] step   99364 | games  732461 ( 50.6/s) | buffer  3000000 | reuse 6.00 | policy 1.8386 value 0.1562 | 118.8 min left
[ 242.1 min] step   99781 | games  736384 ( 50.7/s) | buffer  3000000 | reuse 6.00 | policy 1.8392 value 0.1558 | 117.8 min left
[ 243.1 min] step  100209 | games  740405 ( 50.8/s) | buffer  3000000 | reuse 6.00 | policy 1.8401 value 0.1555 | 116.8 min left
[ 244.1 min] step  100619 | games  744367 ( 50.8/s) | buffer  3000000 | reuse 6.00 | policy 1.8407 value 0.1550 | 115.8 min left
[ 245.1 min] step  101033 | games  748328 ( 50.9/s) | buffer  3000000 | reuse 6.00 | policy 1.8416 value 0.1546 | 114.8 min left
[ 246.1 min] step  101460 | games  752405 ( 51.0/s) | buffer  3000000 | reuse 6.00 | policy 1.8425 value 0.1544 | 113.8 min left
[ 247.1 min] step  101892 | games  756434 ( 51.0/s) | buffer  3000000 | reuse 6.00 | policy 1.8434 value 0.1540 | 112.8 min left
[ 248.1 min] step  102318 | games  760595 ( 51.1/s) | buffer  3000000 | reuse 6.00 | policy 1.8444 value 0.1537 | 111.8 min left
[ 249.1 min] step  102734 | games  764599 ( 51.2/s) | buffer  3000000 | reuse 6.00 | policy 1.8456 value 0.1532 | 110.8 min left
[ 250.1 min] step  103154 | games  768739 ( 51.2/s) | buffer  3000000 | reuse 6.00 | policy 1.8467 value 0.1528 | 109.8 min left
[ 251.1 min] step  103562 | games  772787 ( 51.3/s) | buffer  3000000 | reuse 6.00 | policy 1.8475 value 0.1524 | 108.8 min left
[ 252.1 min] step  103977 | games  776838 ( 51.4/s) | buffer  3000000 | reuse 6.00 | policy 1.8484 value 0.1521 | 107.8 min left
[ 253.1 min] step  104397 | games  780909 ( 51.4/s) | buffer  3000000 | reuse 6.00 | policy 1.8493 value 0.1517 | 106.8 min left
[ 254.1 min] step  104813 | games  785025 ( 51.5/s) | buffer  3000000 | reuse 6.00 | policy 1.8502 value 0.1512 | 105.8 min left
[ 255.1 min] step  105221 | games  789119 ( 51.6/s) | buffer  3000000 | reuse 6.00 | policy 1.8649 value 0.1427 | 104.8 min left
[ 256.1 min] step  105637 | games  793211 ( 51.6/s) | buffer  3000000 | reuse 6.00 | policy 1.8685 value 0.1416 | 103.8 min left
[ 257.1 min] step  106051 | games  797312 ( 51.7/s) | buffer  3000000 | reuse 6.00 | policy 1.8685 value 0.1412 | 102.8 min left
[ 258.1 min] step  106468 | games  801430 ( 51.8/s) | buffer  3000000 | reuse 6.00 | policy 1.8752 value 0.1380 | 101.8 min left
[ 259.1 min] step  106886 | games  805534 ( 51.8/s) | buffer  3000000 | reuse 6.00 | policy 1.8753 value 0.1381 | 100.8 min left
[ 260.1 min] step  107313 | games  809642 ( 51.9/s) | buffer  3000000 | reuse 6.00 | policy 1.8753 value 0.1383 |  99.8 min left
[ 261.1 min] step  107725 | games  813834 ( 51.9/s) | buffer  3000000 | reuse 6.00 | policy 1.8761 value 0.1381 |  98.8 min left
[ 262.1 min] step  108129 | games  817865 ( 52.0/s) | buffer  3000000 | reuse 6.00 | policy 1.8772 value 0.1380 |  97.8 min left
[ 263.1 min] step  108553 | games  821958 ( 52.1/s) | buffer  3000000 | reuse 6.00 | policy 1.8778 value 0.1376 |  96.8 min left
[ 264.1 min] step  108987 | games  826095 ( 52.1/s) | buffer  3000000 | reuse 6.00 | policy 1.8786 value 0.1375 |  95.8 min left
[ 265.1 min] step  109402 | games  830153 ( 52.2/s) | buffer  3000000 | reuse 6.00 | policy 1.8791 value 0.1373 |  94.8 min left
[ 266.1 min] step  109817 | games  834261 ( 52.3/s) | buffer  3000000 | reuse 6.00 | policy 1.8796 value 0.1371 |  93.8 min left
[ 267.1 min] step  110236 | games  838478 ( 52.3/s) | buffer  3000000 | reuse 6.00 | policy 1.8799 value 0.1370 |  92.8 min left
[ 268.1 min] step  110655 | games  842644 ( 52.4/s) | buffer  3000000 | reuse 6.00 | policy 1.8806 value 0.1367 |  91.8 min left
[ 269.1 min] step  111062 | games  846790 ( 52.4/s) | buffer  3000000 | reuse 6.00 | policy 1.8813 value 0.1366 |  90.8 min left
[ 270.1 min] step  111494 | games  850973 ( 52.5/s) | buffer  3000000 | reuse 6.00 | policy 1.8813 value 0.1363 |  89.8 min left
[ 271.1 min] step  111902 | games  855163 ( 52.6/s) | buffer  3000000 | reuse 6.00 | policy 1.8816 value 0.1360 |  88.8 min left
[ 272.1 min] step  112340 | games  859359 ( 52.6/s) | buffer  3000000 | reuse 6.00 | policy 1.8822 value 0.1358 |  87.8 min left
[ 273.1 min] step  112764 | games  863600 ( 52.7/s) | buffer  3000000 | reuse 6.00 | policy 1.8824 value 0.1355 |  86.8 min left
[ 274.1 min] step  113177 | games  867771 ( 52.8/s) | buffer  3000000 | reuse 6.00 | policy 1.8827 value 0.1353 |  85.8 min left
[ 275.1 min] step  113603 | games  872009 ( 52.8/s) | buffer  3000000 | reuse 6.00 | policy 1.8831 value 0.1351 |  84.8 min left
[ 276.1 min] step  114016 | games  876247 ( 52.9/s) | buffer  3000000 | reuse 6.00 | policy 1.8840 value 0.1348 |  83.8 min left
[ 277.1 min] step  114429 | games  880469 ( 53.0/s) | buffer  3000000 | reuse 6.00 | policy 1.8846 value 0.1346 |  82.8 min left
[ 278.1 min] step  114852 | games  884769 ( 53.0/s) | buffer  3000000 | reuse 6.00 | policy 1.8854 value 0.1343 |  81.8 min left
[ 279.1 min] step  115264 | games  889037 ( 53.1/s) | buffer  3000000 | reuse 6.00 | policy 1.8859 value 0.1341 |  80.8 min left
[ 280.1 min] step  115681 | games  893339 ( 53.2/s) | buffer  3000000 | reuse 6.00 | policy 1.8864 value 0.1338 |  79.8 min left
[ 281.1 min] step  116102 | games  897733 ( 53.2/s) | buffer  3000000 | reuse 6.00 | policy 1.8869 value 0.1336 |  78.8 min left
[ 282.1 min] step  116511 | games  902005 ( 53.3/s) | buffer  3000000 | reuse 6.00 | policy 1.8874 value 0.1334 |  77.8 min left
[ 283.1 min] step  116929 | games  906327 ( 53.4/s) | buffer  3000000 | reuse 6.00 | policy 1.8879 value 0.1330 |  76.8 min left
[ 284.1 min] step  117353 | games  910713 ( 53.4/s) | buffer  3000000 | reuse 6.00 | policy 1.8884 value 0.1328 |  75.8 min left
[ 285.1 min] step  117768 | games  915013 ( 53.5/s) | buffer  3000000 | reuse 6.00 | policy 1.8887 value 0.1325 |  74.8 min left
[ 286.1 min] step  118189 | games  919364 ( 53.6/s) | buffer  3000000 | reuse 6.00 | policy 1.9051 value 0.1260 |  73.8 min left
[ 287.1 min] step  118603 | games  923706 ( 53.6/s) | buffer  3000000 | reuse 6.00 | policy 1.9073 value 0.1244 |  72.8 min left
[ 288.1 min] step  119016 | games  927968 ( 53.7/s) | buffer  3000000 | reuse 6.00 | policy 1.9064 value 0.1242 |  71.8 min left
[ 289.1 min] step  119445 | games  932287 ( 53.7/s) | buffer  3000000 | reuse 6.00 | policy 1.9072 value 0.1241 |  70.8 min left
[ 290.1 min] step  119875 | games  936736 ( 53.8/s) | buffer  3000000 | reuse 6.00 | policy 1.9070 value 0.1239 |  69.8 min left
[ 291.1 min] step  120294 | games  941194 ( 53.9/s) | buffer  3000000 | reuse 6.00 | policy 1.9071 value 0.1239 |  68.8 min left
[ 292.1 min] step  120719 | games  945747 ( 54.0/s) | buffer  3000000 | reuse 6.00 | policy 1.9071 value 0.1239 |  67.8 min left
[ 293.1 min] step  121128 | games  950201 ( 54.0/s) | buffer  3000000 | reuse 6.00 | policy 1.9080 value 0.1237 |  66.8 min left
[ 294.1 min] step  121548 | games  954642 ( 54.1/s) | buffer  3000000 | reuse 6.00 | policy 1.9082 value 0.1236 |  65.8 min left
[ 295.1 min] step  121962 | games  958986 ( 54.2/s) | buffer  3000000 | reuse 6.00 | policy 1.9092 value 0.1233 |  64.8 min left
[ 296.1 min] step  122394 | games  963541 ( 54.2/s) | buffer  3000000 | reuse 6.00 | policy 1.9097 value 0.1231 |  63.8 min left
[ 297.1 min] step  122808 | games  967966 ( 54.3/s) | buffer  3000000 | reuse 6.00 | policy 1.9103 value 0.1230 |  62.8 min left
[ 298.1 min] step  123216 | games  972353 ( 54.4/s) | buffer  3000000 | reuse 6.00 | policy 1.9109 value 0.1229 |  61.8 min left
[ 299.1 min] step  123635 | games  976815 ( 54.4/s) | buffer  3000000 | reuse 6.00 | policy 1.9117 value 0.1227 |  60.8 min left
[ 300.1 min] step  124048 | games  981284 ( 54.5/s) | buffer  3000000 | reuse 6.00 | policy 1.9124 value 0.1226 |  59.8 min left
[ 301.1 min] step  124466 | games  985812 ( 54.6/s) | buffer  3000000 | reuse 6.00 | policy 1.9132 value 0.1225 |  58.8 min left
[ 302.1 min] step  124871 | games  990249 ( 54.6/s) | buffer  3000000 | reuse 6.00 | policy 1.9138 value 0.1224 |  57.8 min left
[ 303.1 min] step  125298 | games  994804 ( 54.7/s) | buffer  3000000 | reuse 6.00 | policy 1.9144 value 0.1222 |  56.8 min left
[ 304.1 min] step  125715 | games  999240 ( 54.8/s) | buffer  3000000 | reuse 6.00 | policy 1.9148 value 0.1221 |  55.8 min left
[ 305.1 min] step  126140 | games 1003700 ( 54.8/s) | buffer  3000000 | reuse 6.00 | policy 1.9287 value 0.1183 |  54.8 min left
[ 306.1 min] step  126557 | games 1008164 ( 54.9/s) | buffer  3000000 | reuse 6.00 | policy 1.9275 value 0.1174 |  53.8 min left
[ 307.1 min] step  126986 | games 1012604 ( 55.0/s) | buffer  3000000 | reuse 6.00 | policy 1.9282 value 0.1171 |  52.8 min left
[ 308.1 min] step  127392 | games 1017089 ( 55.0/s) | buffer  3000000 | reuse 6.00 | policy 1.9279 value 0.1173 |  51.8 min left
[ 309.1 min] step  127815 | games 1021492 ( 55.1/s) | buffer  3000000 | reuse 6.00 | policy 1.9279 value 0.1172 |  50.8 min left
[ 310.1 min] step  128245 | games 1026061 ( 55.1/s) | buffer  3000000 | reuse 6.00 | policy 1.9280 value 0.1169 |  49.8 min left
[ 311.1 min] step  128649 | games 1030557 ( 55.2/s) | buffer  3000000 | reuse 6.00 | policy 1.9287 value 0.1166 |  48.8 min left
[ 312.1 min] step  129069 | games 1035152 ( 55.3/s) | buffer  3000000 | reuse 6.00 | policy 1.9292 value 0.1163 |  47.8 min left
[ 313.1 min] step  129481 | games 1039661 ( 55.3/s) | buffer  3000000 | reuse 6.00 | policy 1.9298 value 0.1161 |  46.8 min left
[ 314.1 min] step  129890 | games 1044159 ( 55.4/s) | buffer  3000000 | reuse 6.00 | policy 1.9301 value 0.1159 |  45.8 min left
[ 315.1 min] step  130317 | games 1048729 ( 55.5/s) | buffer  3000000 | reuse 6.00 | policy 1.9304 value 0.1157 |  44.8 min left
[ 316.1 min] step  130742 | games 1053293 ( 55.5/s) | buffer  3000000 | reuse 6.00 | policy 1.9310 value 0.1154 |  43.8 min left
[ 317.1 min] step  131147 | games 1057789 ( 55.6/s) | buffer  3000000 | reuse 6.00 | policy 1.9314 value 0.1151 |  42.8 min left
[ 318.1 min] step  131566 | games 1062345 ( 55.7/s) | buffer  3000000 | reuse 6.00 | policy 1.9318 value 0.1149 |  41.8 min left
[ 319.1 min] step  131982 | games 1066866 ( 55.7/s) | buffer  3000000 | reuse 6.00 | policy 1.9322 value 0.1147 |  40.8 min left
[ 320.1 min] step  132399 | games 1071397 ( 55.8/s) | buffer  3000000 | reuse 6.00 | policy 1.9329 value 0.1145 |  39.8 min left
[ 321.1 min] step  132823 | games 1075909 ( 55.8/s) | buffer  3000000 | reuse 6.00 | policy 1.9462 value 0.1112 |  38.8 min left
[ 322.1 min] step  133260 | games 1080488 ( 55.9/s) | buffer  3000000 | reuse 6.00 | policy 1.9454 value 0.1111 |  37.8 min left
[ 323.1 min] step  133673 | games 1085070 ( 56.0/s) | buffer  3000000 | reuse 6.00 | policy 1.9438 value 0.1112 |  36.8 min left
[ 324.1 min] step  134081 | games 1089611 ( 56.0/s) | buffer  3000000 | reuse 6.00 | policy 1.9448 value 0.1110 |  35.8 min left
[ 325.1 min] step  134488 | games 1094159 ( 56.1/s) | buffer  3000000 | reuse 6.00 | policy 1.9456 value 0.1094 |  34.8 min left
[ 326.1 min] step  134906 | games 1098717 ( 56.1/s) | buffer  3000000 | reuse 6.00 | policy 1.9447 value 0.1110 |  33.8 min left
[ 327.1 min] step  135327 | games 1103361 ( 56.2/s) | buffer  3000000 | reuse 6.00 | policy 1.9462 value 0.1105 |  32.8 min left
[ 328.1 min] step  135737 | games 1107936 ( 56.3/s) | buffer  3000000 | reuse 6.00 | policy 1.9499 value 0.1103 |  31.8 min left
[ 329.1 min] step  136151 | games 1112434 ( 56.3/s) | buffer  3000000 | reuse 6.00 | policy 1.9470 value 0.1112 |  30.8 min left
[ 330.1 min] step  136584 | games 1117063 ( 56.4/s) | buffer  3000000 | reuse 6.00 | policy 1.9466 value 0.1110 |  29.8 min left
[ 331.1 min] step  137002 | games 1121697 ( 56.5/s) | buffer  3000000 | reuse 6.00 | policy 1.9496 value 0.1103 |  28.8 min left
[ 332.1 min] step  137427 | games 1126375 ( 56.5/s) | buffer  3000000 | reuse 6.00 | policy 1.9491 value 0.1103 |  27.8 min left
[ 333.1 min] step  137839 | games 1130995 ( 56.6/s) | buffer  3000000 | reuse 6.00 | policy 1.9484 value 0.1102 |  26.8 min left
[ 334.1 min] step  138241 | games 1135506 ( 56.6/s) | buffer  3000000 | reuse 6.00 | policy 1.9498 value 0.1101 |  25.8 min left
[ 335.1 min] step  138676 | games 1140130 ( 56.7/s) | buffer  3000000 | reuse 6.00 | policy 1.9488 value 0.1099 |  24.8 min left
[ 336.1 min] step  139096 | games 1144813 ( 56.8/s) | buffer  3000000 | reuse 6.00 | policy 1.9493 value 0.1097 |  23.8 min left
[ 337.1 min] step  139516 | games 1149465 ( 56.8/s) | buffer  3000000 | reuse 6.00 | policy 1.9496 value 0.1097 |  22.8 min left
[ 338.1 min] step  139949 | games 1154165 ( 56.9/s) | buffer  3000000 | reuse 6.00 | policy 1.9537 value 0.1088 |  21.8 min left
[ 339.1 min] step  140354 | games 1158841 ( 57.0/s) | buffer  3000000 | reuse 6.00 | policy 1.9501 value 0.1094 |  20.8 min left
[ 340.1 min] step  140766 | games 1163494 ( 57.0/s) | buffer  3000000 | reuse 6.00 | policy 1.9517 value 0.1088 |  19.8 min left
[ 341.1 min] step  141191 | games 1168225 ( 57.1/s) | buffer  3000000 | reuse 6.00 | policy 1.9519 value 0.1085 |  18.8 min left
[ 342.1 min] step  141593 | games 1172796 ( 57.1/s) | buffer  3000000 | reuse 6.00 | policy 1.9532 value 0.1077 |  17.8 min left
[ 343.1 min] step  142018 | games 1177509 ( 57.2/s) | buffer  3000000 | reuse 6.00 | policy 1.9563 value 0.1089 |  16.8 min left
[ 344.1 min] step  142427 | games 1182209 ( 57.3/s) | buffer  3000000 | reuse 6.00 | policy 1.9574 value 0.1089 |  15.8 min left
[ 345.1 min] step  142861 | games 1186963 ( 57.3/s) | buffer  3000000 | reuse 6.00 | policy 1.9569 value 0.1088 |  14.8 min left
[ 346.1 min] step  143274 | games 1191622 ( 57.4/s) | buffer  3000000 | reuse 6.00 | policy 1.9564 value 0.1087 |  13.8 min left
[ 347.1 min] step  143691 | games 1196288 ( 57.4/s) | buffer  3000000 | reuse 6.00 | policy 1.9567 value 0.1086 |  12.8 min left
[ 348.1 min] step  144104 | games 1200970 ( 57.5/s) | buffer  3000000 | reuse 6.00 | policy 1.9569 value 0.1089 |  11.8 min left
[ 349.1 min] step  144515 | games 1205703 ( 57.6/s) | buffer  3000000 | reuse 6.00 | policy 1.9563 value 0.1082 |  10.8 min left
[ 350.1 min] step  144935 | games 1210413 ( 57.6/s) | buffer  3000000 | reuse 6.00 | policy 1.9576 value 0.1078 |   9.8 min left
[ 351.1 min] step  145353 | games 1215054 ( 57.7/s) | buffer  3000000 | reuse 6.00 | policy 1.9582 value 0.1073 |   8.8 min left
[ 352.1 min] step  145784 | games 1219743 ( 57.7/s) | buffer  3000000 | reuse 6.00 | policy 1.9582 value 0.1069 |   7.8 min left
[ 353.1 min] step  146203 | games 1224459 ( 57.8/s) | buffer  3000000 | reuse 6.00 | policy 1.9585 value 0.1069 |   6.8 min left
[ 354.1 min] step  146619 | games 1229129 ( 57.8/s) | buffer  3000000 | reuse 6.00 | policy 1.9591 value 0.1069 |   5.8 min left
[ 355.1 min] step  147054 | games 1233915 ( 57.9/s) | buffer  3000000 | reuse 6.00 | policy 1.9595 value 0.1067 |   4.8 min left
[ 356.1 min] step  147454 | games 1238632 ( 58.0/s) | buffer  3000000 | reuse 6.00 | policy 1.9597 value 0.1066 |   3.8 min left
[ 357.1 min] step  147872 | games 1243399 ( 58.0/s) | buffer  3000000 | reuse 6.00 | policy 1.9600 value 0.1066 |   2.8 min left
[ 358.1 min] step  148286 | games 1248157 ( 58.1/s) | buffer  3000000 | reuse 6.00 | policy 1.9602 value 0.1065 |   1.8 min left
[ 359.1 min] step  148711 | games 1253007 ( 58.1/s) | buffer  3000000 | reuse 6.00 | policy 1.9604 value 0.1064 |   0.8 min left
[ 359.9 min] step  149031 | games 1256666 ( 58.2/s) | buffer  3000000 | reuse 6.00 | policy 1.9605 value 0.1065 |   0.0 min left
[learner] finished
[main] workers stopped
